ID,Sales
883,108
884,114
885,106
886,93
887,77
888,78
889,76
890,77
891,81
892,87
893,85
894,85
895,85
896,92
897,108
898,114
899,106
900,93
901,77
902,78
903,76
904,77
905,81
906,87
907,85
908,85
909,85
910,92
911,108
912,114
913,106
914,93
915,77
916,78
917,76
918,77
919,81
920,87
921,85
922,85
923,85
924,92
925,108
926,114
927,106
928,93
929,77
930,78
931,76
932,77
933,81
934,87
935,85
936,85
937,85
938,92
939,108
940,114
941,106
942,93
1825,123
1826,124
1827,126
1828,123
1829,107
1830,97
1831,95
1832,96
1833,112
1834,106
1835,121
1836,121
1837,121
1838,122
1839,123
1840,124
1841,126
1842,123
1843,108
1844,99
1845,97
1846,96
1847,99
1848,106
1849,121
1850,121
1851,121
1852,122
1853,123
1854,124
1855,126
1856,123
1857,108
1858,99
1859,97
1860,96
1861,99
1862,106
1863,121
1864,121
1865,121
1866,122
1867,123
1868,124
1869,126
1870,123
1871,108
1872,99
1873,97
1874,96
1875,99
1876,106
1877,121
1878,121
1879,121
1880,122
1881,123
1882,124
1883,126
1884,123
2767,155
2768,157
2769,157
2770,154
2771,140
2772,135
2773,134
2774,132
2775,133
2776,140
2777,154
2778,154
2779,154
2780,154
2781,155
2782,157
2783,157
2784,154
2785,140
2786,135
2787,134
2788,132
2789,133
2790,140
2791,154
2792,154
2793,154
2794,154
2795,155
2796,157
2797,157
2798,154
2799,140
2800,135
2801,134
2802,132
2803,133
2804,140
2805,154
2806,154
2807,154
2808,154
2809,155
2810,157
2811,157
2812,154
2813,140
2814,135
2815,134
2816,132
2817,133
2818,140
2819,154
2820,154
2821,154
2822,154
2823,155
2824,157
2825,157
2826,154
3709,93
3710,94
3711,94
3712,89
3713,77
3714,78
3715,77
3716,76
3717,79
3718,87
3719,90
3720,90
3721,90
3722,91
3723,93
3724,94
3725,94
3726,89
3727,77
3728,78
3729,77
3730,76
3731,79
3732,87
3733,90
3734,90
3735,90
3736,91
3737,93
3738,94
3739,94
3740,89
3741,77
3742,78
3743,77
3744,76
3745,79
3746,87
3747,90
3748,90
3749,90
3750,91
3751,93
3752,94
3753,94
3754,89
3755,77
3756,78
3757,77
3758,76
3759,79
3760,87
3761,90
3762,90
3763,90
3764,91
3765,93
3766,94
3767,94
3768,89
4651,111
4652,113
4653,115
4654,116
4655,112
4656,100
4657,98
4658,93
4659,97
4660,100
4661,111
4662,111
4663,111
4664,111
4665,111
4666,113
4667,115
4668,116
4669,112
4670,100
4671,98
4672,97
4673,96
4674,100
4675,111
4676,111
4677,111
4678,111
4679,111
4680,113
4681,115
4682,116
4683,112
4684,100
4685,98
4686,97
4687,96
4688,100
4689,111
4690,111
4691,111
4692,111
4693,111
4694,113
4695,115
4696,116
4697,112
4698,100
4699,98
4700,97
4701,96
4702,100
4703,111
4704,111
4705,111
4706,111
4707,111
4708,113
4709,115
4710,116
5593,98
5594,99
5595,100
5596,100
5597,96
5598,90
5599,89
5600,88
5601,88
5602,91
5603,98
5604,98
5605,98
5606,98
5607,98
5608,99
5609,100
5610,100
5611,96
5612,90
5613,89
5614,88
5615,88
5616,91
5617,98
5618,98
5619,98
5620,98
5621,98
5622,99
5623,100
5624,100
5625,96
5626,90
5627,89
5628,88
5629,88
5630,91
5631,98
5632,98
5633,98
5634,98
5635,98
5636,99
5637,100
5638,100
5639,96
5640,90
5641,89
5642,88
5643,88
5644,91
5645,98
5646,98
5647,98
5648,98
5649,98
5650,99
5651,100
5652,100
6535,146
6536,147
6537,147
6538,146
6539,140
6540,136
6541,135
6542,134
6543,135
6544,139
6545,145
6546,145
6547,145
6548,145
6549,146
6550,147
6551,147
6552,146
6553,140
6554,136
6555,135
6556,134
6557,135
6558,139
6559,145
6560,145
6561,145
6562,145
6563,146
6564,147
6565,147
6566,146
6567,140
6568,136
6569,135
6570,134
6571,135
6572,139
6573,145
6574,145
6575,145
6576,145
6577,146
6578,147
6579,147
6580,146
6581,140
6582,136
6583,135
6584,134
6585,135
6586,139
6587,145
6588,145
6589,145
6590,145
6591,146
6592,147
6593,147
6594,146
7477,140
7478,142
7479,144
7480,143
7481,132
7482,120
7483,118
7484,116
7485,116
7486,125
7487,138
7488,138
7489,138
7490,139
7491,140
7492,142
7493,144
7494,143
7495,132
7496,120
7497,118
7498,116
7499,116
7500,125
7501,138
7502,138
7503,138
7504,139
7505,140
7506,142
7507,144
7508,143
7509,132
7510,120
7511,118
7512,116
7513,116
7514,125
7515,138
7516,138
7517,138
7518,139
7519,140
7520,142
7521,144
7522,143
7523,132
7524,120
7525,118
7526,116
7527,116
7528,125
7529,138
7530,138
7531,138
7532,139
7533,140
7534,142
7535,144
7536,143
8235,91
8236,94
8237,99
8238,100
8239,92
8240,73
8241,69
8242,66
8243,74
8244,73
8245,90
8246,90
8247,90
8248,90
8249,91
8250,94
8251,99
8252,100
8253,92
8254,74
8255,71
8256,68
8257,68
8258,73
8259,90
8260,90
8261,90
8262,90
8263,91
8264,94
8265,99
8266,100
8267,92
8268,74
8269,71
8270,68
8271,68
8272,73
8273,90
8274,90
8275,90
8276,90
8277,91
8278,94
8279,99
8280,100
8281,92
8282,74
8283,71
8284,68
8285,68
8286,73
8287,90
8288,90
8289,90
8290,90
8291,91
8292,94
8293,99
8294,100
9177,102
9178,103
9179,103
9180,100
9181,90
9182,86
9183,85
9184,85
9185,87
9186,95
9187,100
9188,100
9189,100
9190,101
9191,102
9192,103
9193,103
9194,100
9195,91
9196,88
9197,87
9198,87
9199,89
9200,95
9201,100
9202,100
9203,100
9204,101
9205,102
9206,103
9207,103
9208,100
9209,91
9210,88
9211,87
9212,87
9213,89
9214,95
9215,100
9216,100
9217,100
9218,101
9219,102
9220,103
9221,103
9222,100
9223,91
9224,88
9225,87
9226,87
9227,89
9228,95
9229,100
9230,100
9231,100
9232,101
9233,102
9234,103
9235,103
9236,100
10119,122
10120,123
10121,126
10122,126
10123,117
10124,105
10125,103
10126,101
10127,102
10128,109
10129,120
10130,120
10131,120
10132,121
10133,122
10134,123
10135,126
10136,126
10137,117
10138,105
10139,103
10140,101
10141,102
10142,109
10143,120
10144,120
10145,120
10146,121
10147,122
10148,123
10149,126
10150,126
10151,117
10152,105
10153,103
10154,101
10155,102
10156,109
10157,120
10158,120
10159,120
10160,121
10161,122
10162,123
10163,126
10164,126
10165,117
10166,105
10167,103
10168,101
10169,102
10170,109
10171,120
10172,120
10173,120
10174,121
10175,122
10176,123
10177,126
10178,126
11061,118
11062,120
11063,121
11064,120
11065,108
11066,101
11067,99
11068,97
11069,98
11070,106
11071,116
11072,116
11073,116
11074,117
11075,118
11076,120
11077,121
11078,120
11079,108
11080,101
11081,99
11082,97
11083,98
11084,106
11085,116
11086,116
11087,116
11088,117
11089,118
11090,120
11091,121
11092,120
11093,108
11094,101
11095,99
11096,97
11097,98
11098,106
11099,116
11100,116
11101,116
11102,117
11103,118
11104,120
11105,121
11106,120
11107,108
11108,101
11109,99
11110,97
11111,98
11112,106
11113,116
11114,116
11115,116
11116,117
11117,118
11118,120
11119,121
11120,120
12003,117
12004,119
12005,119
12006,118
12007,109
12008,101
12009,98
12010,96
12011,101
12012,108
12013,116
12014,116
12015,116
12016,117
12017,117
12018,119
12019,119
12020,118
12021,110
12022,102
12023,101
12024,100
12025,102
12026,108
12027,116
12028,116
12029,116
12030,117
12031,117
12032,119
12033,119
12034,118
12035,110
12036,102
12037,101
12038,100
12039,102
12040,108
12041,116
12042,116
12043,116
12044,117
12045,117
12046,119
12047,119
12048,118
12049,110
12050,102
12051,101
12052,100
12053,102
12054,108
12055,116
12056,116
12057,116
12058,117
12059,117
12060,119
12061,119
12062,118
12761,77
12762,79
12763,80
12764,79
12765,71
12766,63
12767,60
12768,61
12769,66
12770,68
12771,76
12772,76
12773,76
12774,76
12775,77
12776,79
12777,80
12778,79
12779,73
12780,66
12781,64
12782,63
12783,64
12784,68
12785,76
12786,76
12787,76
12788,76
12789,77
12790,79
12791,80
12792,79
12793,73
12794,66
12795,64
12796,63
12797,64
12798,68
12799,76
12800,76
12801,76
12802,76
12803,77
12804,79
12805,80
12806,79
12807,73
12808,66
12809,64
12810,63
12811,64
12812,68
12813,76
12814,76
12815,76
12816,76
12817,77
12818,79
12819,80
12820,79
13703,162
13704,165
13705,168
13706,166
13707,152
13708,138
13709,135
13710,134
13711,139
13712,141
13713,161
13714,161
13715,161
13716,162
13717,162
13718,165
13719,168
13720,166
13721,152
13722,138
13723,136
13724,133
13725,133
13726,141
13727,161
13728,161
13729,161
13730,162
13731,162
13732,165
13733,168
13734,166
13735,152
13736,138
13737,136
13738,133
13739,133
13740,141
13741,161
13742,161
13743,161
13744,162
13745,162
13746,165
13747,168
13748,166
13749,152
13750,138
13751,136
13752,133
13753,133
13754,141
13755,161
13756,161
13757,161
13758,162
13759,162
13760,165
13761,168
13762,166
14645,176
14646,178
14647,180
14648,178
14649,164
14650,146
14651,144
14652,138
14653,155
14654,150
14655,175
14656,175
14657,175
14658,175
14659,176
14660,178
14661,180
14662,178
14663,164
14664,146
14665,144
14666,142
14667,143
14668,150
14669,175
14670,175
14671,175
14672,175
14673,176
14674,178
14675,180
14676,178
14677,164
14678,146
14679,144
14680,142
14681,143
14682,150
14683,175
14684,175
14685,175
14686,175
14687,176
14688,178
14689,180
14690,178
14691,164
14692,146
14693,144
14694,142
14695,143
14696,150
14697,175
14698,175
14699,175
14700,175
14701,176
14702,178
14703,180
14704,178
15587,99
15588,101
15589,102
15590,101
15591,93
15592,82
15593,80
15594,80
15595,81
15596,88
15597,98
15598,98
15599,98
15600,99
15601,99
15602,101
15603,102
15604,101
15605,93
15606,82
15607,81
15608,80
15609,81
15610,88
15611,98
15612,98
15613,98
15614,99
15615,99
15616,101
15617,102
15618,101
15619,93
15620,82
15621,81
15622,80
15623,81
15624,88
15625,98
15626,98
15627,98
15628,99
15629,99
15630,101
15631,102
15632,101
15633,93
15634,82
15635,81
15636,80
15637,81
15638,88
15639,98
15640,98
15641,98
15642,99
15643,99
15644,101
15645,102
15646,101
16529,105
16530,107
16531,111
16532,113
16533,106
16534,93
16535,91
16536,88
16537,87
16538,91
16539,103
16540,103
16541,103
16542,104
16543,105
16544,107
16545,111
16546,113
16547,106
16548,93
16549,91
16550,88
16551,87
16552,91
16553,103
16554,103
16555,103
16556,104
16557,105
16558,107
16559,111
16560,113
16561,106
16562,93
16563,91
16564,88
16565,87
16566,91
16567,103
16568,103
16569,103
16570,104
16571,105
16572,107
16573,111
16574,113
16575,106
16576,93
16577,91
16578,88
16579,87
16580,91
16581,103
16582,103
16583,103
16584,104
16585,105
16586,107
16587,111
16588,113
17471,143
17472,145
17473,149
17474,149
17475,141
17476,130
17477,127
17478,124
17479,124
17480,129
17481,142
17482,142
17483,142
17484,142
17485,143
17486,145
17487,149
17488,149
17489,141
17490,130
17491,127
17492,124
17493,124
17494,129
17495,142
17496,142
17497,142
17498,142
17499,143
17500,145
17501,149
17502,149
17503,141
17504,130
17505,127
17506,124
17507,124
17508,129
17509,142
17510,142
17511,142
17512,142
17513,143
17514,145
17515,149
17516,149
17517,141
17518,130
17519,127
17520,124
17521,124
17522,129
17523,142
17524,142
17525,142
17526,142
17527,143
17528,145
17529,149
17530,149
18413,171
18414,172
18415,175
18416,174
18417,161
18418,145
18419,143
18420,139
18421,144
18422,147
18423,169
18424,169
18425,169
18426,170
18427,171
18428,172
18429,175
18430,174
18431,162
18432,146
18433,144
18434,141
18435,141
18436,147
18437,169
18438,169
18439,169
18440,170
18441,171
18442,172
18443,175
18444,174
18445,162
18446,146
18447,144
18448,141
18449,141
18450,147
18451,169
18452,169
18453,169
18454,170
18455,171
18456,172
18457,175
18458,174
18459,162
18460,146
18461,144
18462,141
18463,141
18464,147
18465,169
18466,169
18467,169
18468,170
18469,171
18470,172
18471,175
18472,174
19355,126
19356,130
19357,137
19358,142
19359,138
19360,113
19361,109
19362,104
19363,100
19364,105
19365,125
19366,125
19367,125
19368,125
19369,126
19370,130
19371,137
19372,142
19373,138
19374,113
19375,109
19376,104
19377,100
19378,105
19379,125
19380,125
19381,125
19382,125
19383,126
19384,130
19385,137
19386,142
19387,138
19388,113
19389,109
19390,104
19391,100
19392,105
19393,125
19394,125
19395,125
19396,125
19397,126
19398,130
19399,137
19400,142
19401,138
19402,113
19403,109
19404,104
19405,100
19406,105
19407,125
19408,125
19409,125
19410,125
19411,126
19412,130
19413,137
19414,142
20297,89
20298,90
20299,89
20300,86
20301,76
20302,71
20303,71
20304,73
20305,77
20306,79
20307,87
20308,87
20309,87
20310,89
20311,89
20312,90
20313,89
20314,86
20315,76
20316,71
20317,71
20318,71
20319,74
20320,79
20321,87
20322,87
20323,87
20324,89
20325,89
20326,90
20327,89
20328,86
20329,76
20330,71
20331,71
20332,71
20333,74
20334,79
20335,87
20336,87
20337,87
20338,89
20339,89
20340,90
20341,89
20342,86
20343,76
20344,71
20345,71
20346,71
20347,74
20348,79
20349,87
20350,87
20351,87
20352,89
20353,89
20354,90
20355,89
20356,86
21239,94
21240,96
21241,99
21242,101
21243,98
21244,85
21245,82
21246,76
21247,77
21248,81
21249,93
21250,93
21251,93
21252,93
21253,94
21254,96
21255,99
21256,101
21257,99
21258,86
21259,84
21260,81
21261,79
21262,81
21263,93
21264,93
21265,93
21266,93
21267,94
21268,96
21269,99
21270,101
21271,99
21272,86
21273,84
21274,81
21275,79
21276,81
21277,93
21278,93
21279,93
21280,93
21281,94
21282,96
21283,99
21284,101
21285,99
21286,86
21287,84
21288,81
21289,79
21290,81
21291,93
21292,93
21293,93
21294,93
21295,94
21296,96
21297,99
21298,101
22181,125
22182,126
22183,128
22184,126
22185,116
22186,107
22187,104
22188,107
22189,112
22190,113
22191,124
22192,124
22193,124
22194,124
22195,125
22196,126
22197,128
22198,126
22199,116
22200,108
22201,106
22202,105
22203,106
22204,113
22205,124
22206,124
22207,124
22208,124
22209,125
22210,126
22211,128
22212,126
22213,116
22214,108
22215,106
22216,105
22217,106
22218,113
22219,124
22220,124
22221,124
22222,124
22223,125
22224,126
22225,128
22226,126
22227,116
22228,108
22229,106
22230,105
22231,106
22232,113
22233,124
22234,124
22235,124
22236,124
22237,125
22238,126
22239,128
22240,126
23123,103
23124,104
23125,105
23126,103
23127,94
23128,86
23129,85
23130,83
23131,85
23132,91
23133,102
23134,102
23135,102
23136,102
23137,103
23138,104
23139,105
23140,103
23141,94
23142,86
23143,85
23144,83
23145,85
23146,91
23147,102
23148,102
23149,102
23150,102
23151,103
23152,104
23153,105
23154,103
23155,94
23156,86
23157,85
23158,83
23159,85
23160,91
23161,102
23162,102
23163,102
23164,102
23165,103
23166,104
23167,105
23168,103
23169,94
23170,86
23171,85
23172,83
23173,85
23174,91
23175,102
23176,102
23177,102
23178,102
23179,103
23180,104
23181,105
23182,103
24065,74
24066,75
24067,75
24068,75
24069,71
24070,67
24071,66
24072,66
24073,67
24074,70
24075,74
24076,74
24077,74
24078,74
24079,74
24080,75
24081,75
24082,75
24083,71
24084,67
24085,66
24086,66
24087,67
24088,70
24089,74
24090,74
24091,74
24092,74
24093,74
24094,75
24095,75
24096,75
24097,71
24098,67
24099,66
24100,66
24101,67
24102,70
24103,74
24104,74
24105,74
24106,74
24107,74
24108,75
24109,75
24110,75
24111,71
24112,67
24113,66
24114,66
24115,67
24116,70
24117,74
24118,74
24119,74
24120,74
24121,74
24122,75
24123,75
24124,75
25007,127
25008,130
25009,136
25010,139
25011,134
25012,115
25013,109
25014,101
25015,111
25016,110
25017,126
25018,126
25019,126
25020,126
25021,127
25022,130
25023,136
25024,139
25025,135
25026,117
25027,114
25028,110
25029,107
25030,110
25031,126
25032,126
25033,126
25034,126
25035,127
25036,130
25037,136
25038,139
25039,135
25040,117
25041,114
25042,110
25043,107
25044,110
25045,126
25046,126
25047,126
25048,126
25049,127
25050,130
25051,136
25052,139
25053,135
25054,117
25055,114
25056,110
25057,107
25058,110
25059,126
25060,126
25061,126
25062,126
25063,127
25064,130
25065,136
25066,139
25949,73
25950,75
25951,78
25952,80
25953,75
25954,62
25955,58
25956,56
25957,60
25958,59
25959,71
25960,71
25961,71
25962,71
25963,73
25964,75
25965,78
25966,80
25967,75
25968,63
25969,60
25970,57
25971,55
25972,59
25973,71
25974,71
25975,71
25976,71
25977,73
25978,75
25979,78
25980,80
25981,75
25982,63
25983,60
25984,57
25985,55
25986,59
25987,71
25988,71
25989,71
25990,71
25991,73
25992,75
25993,78
25994,80
25995,75
25996,63
25997,60
25998,57
25999,55
26000,59
26001,71
26002,71
26003,71
26004,71
26005,73
26006,75
